wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;floors;terrace;type;price;id;plz;street;city;district;kontextlabel;kontextWert
400;76000;10;einfamilienhaus;1;1963;2;1;1.9;Terasse;Massivhaus;2450000;10730884;21274;Straße nicht freigegeben;Undeloh;Wesel;2;4200
317;2760;7;einfamilienhaus;0;1885;3;1;1.9;Terrasse. Garten ;Massivhaus;1350000;30971098;21274;Straße nicht freigegeben;Undeloh;Wesel;2;4200
110;127;4;einfamilienhaus;0;1991;4;1.2;2;Terrasse. Garten ;Massivhaus;335000;73681181;28832;Straße nicht freigegeben;Achim;Bierden;10;2950
112;800;4;bungalow;1;1973;2.8;1;1.9;Terrasse. Garten ;Massivhaus;399000;22048857;28832;Straße nicht freigegeben;Achim;Badenermoor;10;2950
166.22;720;5;einfamilienhaus;2;1978;3;1;1.9;Terrasse. Garten ;Massivhaus;675000;26419544;28832;Straße nicht freigegeben;Achim;Badenermoor;10;2950
125.66;427;5;einfamilienhaus;2;1993;5;1.2;1.9;Terasse;Massivhaus;495000;18046263;28832;Straße nicht freigegeben;Achim;Uphusen;10;2950
192;910;5;einfamilienhaus;0;1977;2.8;1.2;2;Terrasse. Garten ;Massivhaus;540000;22322079;28832;Straße nicht freigegeben;Achim;Embsen;10;2950
250;1002;11;mehrfamilienhaus;1;1973;1;3;1.9;Terrasse. Garten. Gartenanteil. Gartenmitbenutzung. Wintergarten ;Massivhaus;445000;27626168;28832;Straße nicht freigegeben;AchimbBremen;Uphusen;10;2950
250;810;7;einfamilienhaus;1.19;1986;2;1.2;1.9;Terasse;Massivhaus;595000;61646255;28832;Straße nicht freigegeben;Achim;;10;2950
102;363;3;einfamilienhaus;1.19;1989;2.8;1.2;1.9;Terrasse ;Massivhaus;330000;81159389;28832;Straße nicht freigegeben;AchimUesen;;10;2950
146.8;703;7;einfamilienhaus;2;1900;0;1;1.9;Terasse;Massivhaus;140000;11482662;37603;Straße nicht freigegeben;Silberborn;;5;1850
