id;plz;stadt;strasse;stadtteil;preis;wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextLabel;kontextWert
60192001;26802;Moormerland;Straße nicht freigegeben;Oldersum;175000;95.0;770.0;5.0;einfamilienhaus;2;1963;2;1;6;2100
51958188;29451;Dannenberg;Straße nicht freigegeben;;175000;140.0;1646.0;7.0;einfamilienhaus;1;1920;0;3;0;1900
55011428;26847;Detern;Straße nicht freigegeben;;175000;115.0;1563.0;5.0;einfamilienhaus;0;1956;0;3;1;1750
26900571;37412;HerzbergamHarzHerzberg;Straße nicht freigegeben;;175000;134.53;1028.0;6.0;mehrfamilienhaus;2;1963;0;1;5;1300
76907807;31171;NordstemmenBarnten;Straße nicht freigegeben;;175000;100.0;537.0;4.0;doppelhaushälfte;2;1951;3;1;10;2100
67496039;26844;Jemgum;Straße nicht freigegeben;Midlum;177000;98.0;900.0;4.0;einfamilienhaus;2;1965;1;3;1;1900
25759965;29386;Dedelstorf;Straße nicht freigegeben;Langwedel;178000;79.2;1450.2;3.0;bungalow;0;1981;3;1;0;1850
67567693;26937;Stadland;Straße nicht freigegeben;Seefeld;179000;160.0;1275.0;6.0;einfamilienhaus;1;1939;0;3;1;1600
71352229;38154;Königslutter;Straße nicht freigegeben;;179000;150.0;527.0;7.0;mehrfamilienhaus;2;1903;0;1;6;2550
40379298;37627;Wangelnstedt;Straße nicht freigegeben;;179000;120.0;520.0;12.0;einfamilienhaus;2;1938;1;0;1;1000
62187971;37574;Einbeck;Straße nicht freigegeben;Kreiensen;179000;200.0;1159.0;9.0;mehrfamilienhaus;2;1934;1;0;5;1050
33932839;27753;DelmenhorstStröhen;Straße nicht freigegeben;Mitte;179000;70.43;269.0;4.0;doppelhaushälfte;2;1955;0;3;10;2650
65717546;49699;Lindern;Straße nicht freigegeben;OldenburgMarren;179000;103.0;599.0;5.0;einfamilienhaus;1;1951;3;3;1;1950
37216245;31089;Duingen;Straße nicht freigegeben;;179900;128.0;600.0;7.0;einfamilienhaus;2;1948;0;3;2;1750
38769946;31089;Duingen;Straße nicht freigegeben;;179900;128.0;600.0;7.0;einfamilienhaus;2;1948;0;3;2;1750
91799739;31789;Hameln;Straße nicht freigegeben;Klein Berkel;180000;162.0;721.0;6.0;einfamilienhaus;2;2016;4;1;10;1950
11594234;38381;Jerxheim;Straße nicht freigegeben;;180000;112.5;988.0;4.0;einfamilienhaus;2;1974;1;1;1;1050
66413592;38685;Langelsheim;Straße nicht freigegeben;Lautenthal;180000;273.28;993.28;11.0;einfamilienhaus;2;2003;3;1;5;2350
99086573;34346;HannMünden;Straße nicht freigegeben;Gimte;180000;98.0;1297.0;5.0;einfamilienhaus;1;1941;0;3;6;2650
44177136;27211;Bassum;Straße nicht freigegeben;Osterbinde;180000;154.82;1215.0;6.0;einfamilienhaus;1;1936;1;3;5;2250
21315929;37627;Heinade;Straße nicht freigegeben;Hellental;180000;160.46;440.0;7.0;einfamilienhaus;2;1900;2;1;1;1000
51686330;31840;HessischOldendorf;Straße nicht freigegeben;Rohden;180000;137.5;300.0;6.0;mehrfamilienhaus;2;1900;2;1;6;1550
45752695;38685;Langelsheim;Straße nicht freigegeben;Lautenthal;180000;273.17;993.17;11.0;einfamilienhaus;2;2003;3;1;5;2350
23239916;49201;Dissen;Straße nicht freigegeben;;180000;99.0;336.0;5.0;doppelhaushälfte;2;1970;0;3;10;2750
80365863;27449;Kutenholz;Straße nicht freigegeben;;182000;74.44;391.0;2.0;bungalow;1;2004;0;1;1;2200
42658809;26725;Emden;Straße nicht freigegeben;Widdelswehr/Jarßum;182000;100.0;993.0;5.0;einfamilienhaus;1;1968;1;1;9;2150
70929652;26919;Brake;Straße nicht freigegeben;;185000;120.0;496.0;3.0;einfamilienhaus;1;1977;0;3;9;1950
84151867;49356;Diepholz;Straße nicht freigegeben;;185000;124.41;728.0;7.0;einfamilienhaus;0;1951;1;3;5;2250
28042289;26721;Emden;Straße nicht freigegeben;Harsweg;185000;100.0;404.0;4.0;einfamilienhaus;1;1924;0;1;9;2150
99301144;37445;Walkenried;Straße nicht freigegeben;;185000;202.0;1219.0;10.0;einfamilienhaus;1;1973;4;1;1;950
17174689;38387;Söllingen;Straße nicht freigegeben;;185000;129.0;1116.0;6.0;einfamilienhaus;2;1998;1;3;1;1050
97275220;38667;BadHarzburg;Straße nicht freigegeben;Schlewecke;185000;265.0;826.0;13.0;mehrfamilienhaus;2;1959;5;3;9;1800
40132598;38229;Salzgitter;Straße nicht freigegeben;Heerte;185000;121.0;700.0;6.0;doppelhaushälfte;2;1938;0;3;10;2100
29983361;26826;Weener;Straße nicht freigegeben;;185000;125.0;452.0;5.0;einfamilienhaus;2;1955;1;1;5;1700
56677541;26826;Weener;Straße nicht freigegeben;Holthusen;185000;125.0;452.0;5.0;einfamilienhaus;2;1955;1;1;5;1700
27595611;38229;SalzgitterEngerode;Straße nicht freigegeben;;185000;95.76;696.0;4.0;einfamilienhaus;2;1962;0;3;10;2100
89819097;37603;HolzmindenSilberborn;Straße nicht freigegeben;;189000;162.84;3541.0;8.0;einfamilienhaus;2;1970;2;3;5;1850
61453205;27751;Delmenhorst;Straße nicht freigegeben;Bungerhof;189000;270.0;960.0;8.0;mehrfamilienhaus;1;1903;0;1;10;2650
19134745;26135;Oldenburg;Straße nicht freigegeben;Neuenwege;189000;75.0;140.0;4.0;doppelhaushälfte;1;1936;2;0;10;3600
44746713;26802;Moormerland;Straße nicht freigegeben;Oldersum;189000;200.0;557.0;7.0;einfamilienhaus;1;1920;0;1;6;2100
86538087;30826;Garbsen;Straße nicht freigegeben;Osterwald U. E.;189000;68.0;350.0;3.0;doppelhaushälfte;2;1953;0;1;11;3350
88756192;29392;Wesendorf;Straße nicht freigegeben;;189000;77.0;1130.0;4.0;doppelhaushälfte;2;1958;0;1;1;1950
81206109;38524;Sassenburg;Straße nicht freigegeben;Triangel;189000;65.0;430.0;3.0;doppelhaushälfte;2;1956;0;3;1;2750
20530347;29392;Wesendorf;Straße nicht freigegeben;;189000;77.0;1130.0;4.0;doppelhaushälfte;2;1958;0;1;1;1950
44419508;26723;Emden;Straße nicht freigegeben;;189000;123.0;210.0;7.0;mehrfamilienhaus;2;1953;1;3;9;2150
77243287;26524;Berumbur;Straße nicht freigegeben;;189000;95.0;324.0;4.0;einfamilienhaus;0;1977;0;3;8;2100
11351291;38524;Sassenburg;Straße nicht freigegeben;Triangel;189000;65.0;430.0;3.0;doppelhaushälfte;2;1956;0;3;1;2750
10579528;26725;Emden;Straße nicht freigegeben;Borssum/Hilmarsum;189000;107.0;443.0;5.0;einfamilienhaus;0;1946;3;1;9;2150
84110006;29313;Hambühren;Straße nicht freigegeben;Oldau;189950;100.0;1100.0;4.0;bungalow;2;1974;0;3;6;2300
76574251;31749;Auetal;Straße nicht freigegeben;Rehren;190000;110.96;899.0;9.0;einfamilienhaus;2;1900;0;1;2;2050
23099913;38154;KönigslutteramElm;Straße nicht freigegeben;Lelm;190000;160.0;745.0;6.0;mehrfamilienhaus;2;1965;0;1;6;2550
