wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;price;id;plz;street;city;district;kontextlabel;kontextWert
80.0;14174.0;6.0;einfamilienhaus;0;1852;0;3;170000;74098818;26524;Straße nicht freigegeben;Halbemond;;8;2100
120.0;1117.0;7.0;einfamilienhaus;1;1969;0;3;171000;59662545;27313;Straße nicht freigegeben;Dörverden;;1;1550
185.72;1052.0;7.0;einfamilienhaus;2;1900;1;3;172000;10438879;29468;Straße nicht freigegeben;Bergen;Dumme;0;1150
99.9;1981.0;4.0;einfamilienhaus;0;1870;1;3;172500;35768545;26937;Straße nicht freigegeben;Stadland;Augustgroden;1;1600
98.0;1000.0;5.0;einfamilienhaus;2;2005;0;3;174000;10465317;29345;Straße nicht freigegeben;Südheide;Unterlüß;0;1600
75.0;485.0;5.0;einfamilienhaus;0;1750;0;3;174000;26291776;38173;Reitlingstraße 16;Erkerode;;2;1150
78.0;770.0;3.0;einfamilienhaus;0;2013;0;1;174000;46800090;21727;Straße nicht freigegeben;EstorfGräpel;;0;2000
135.0;1210.0;5.0;einfamilienhaus;1;1955;0;3;174900;90396012;38384;Straße nicht freigegeben;Gevensleben;;1;800
140.0;733.0;7.0;einfamilienhaus;2;1971;1;1;175000;78148785;31167;Straße nicht freigegeben;Bockenem;Volkersheim;2;1350
95.0;770.0;5.0;einfamilienhaus;2;1963;2;1;175000;60192001;26802;Straße nicht freigegeben;Moormerland;Oldersum;6;2100
140.0;1646.0;7.0;einfamilienhaus;1;1920;0;3;175000;51958188;29451;Straße nicht freigegeben;Dannenberg;;0;1900
115.0;1563.0;5.0;einfamilienhaus;0;1956;0;3;175000;55011428;26847;Straße nicht freigegeben;Detern;;1;1750
134.53;1028.0;6.0;mehrfamilienhaus;2;1963;0;1;175000;26900571;37412;Straße nicht freigegeben;HerzbergamHarzHerzberg;;5;1300
100.0;537.0;4.0;doppelhaushälfte;2;1951;3;1;175000;76907807;31171;Straße nicht freigegeben;NordstemmenBarnten;;10;2100
98.0;900.0;4.0;einfamilienhaus;2;1965;1;3;177000;67496039;26844;Straße nicht freigegeben;Jemgum;Midlum;1;1900
79.2;1450.2;3.0;bungalow;0;1981;3;1;178000;25759965;29386;Straße nicht freigegeben;Dedelstorf;Langwedel;0;1850
160.0;1275.0;6.0;einfamilienhaus;1;1939;0;3;179000;67567693;26937;Straße nicht freigegeben;Stadland;Seefeld;1;1600
150.0;527.0;7.0;mehrfamilienhaus;2;1903;0;1;179000;71352229;38154;Straße nicht freigegeben;Königslutter;;6;2550
120.0;520.0;12.0;einfamilienhaus;2;1938;1;0;179000;40379298;37627;Straße nicht freigegeben;Wangelnstedt;;1;1000
200.0;1159.0;9.0;mehrfamilienhaus;2;1934;1;0;179000;62187971;37574;Straße nicht freigegeben;Einbeck;Kreiensen;5;1050
70.43;269.0;4.0;doppelhaushälfte;2;1955;0;3;179000;33932839;27753;Straße nicht freigegeben;DelmenhorstStröhen;Mitte;10;2650
103.0;599.0;5.0;einfamilienhaus;1;1951;3;3;179000;65717546;49699;Straße nicht freigegeben;Lindern;OldenburgMarren;1;1950
128.0;600.0;7.0;einfamilienhaus;2;1948;0;3;179900;37216245;31089;Straße nicht freigegeben;Duingen;;2;1750
128.0;600.0;7.0;einfamilienhaus;2;1948;0;3;179900;38769946;31089;Straße nicht freigegeben;Duingen;;2;1750
162.0;721.0;6.0;einfamilienhaus;2;2016;4;1;180000;91799739;31789;Straße nicht freigegeben;Hameln;Klein Berkel;10;1950
112.5;988.0;4.0;einfamilienhaus;2;1974;1;1;180000;11594234;38381;Straße nicht freigegeben;Jerxheim;;1;1050
273.28;993.28;11.0;einfamilienhaus;2;2003;3;1;180000;66413592;38685;Straße nicht freigegeben;Langelsheim;Lautenthal;5;2350
98.0;1297.0;5.0;einfamilienhaus;1;1941;0;3;180000;99086573;34346;Straße nicht freigegeben;HannMünden;Gimte;6;2650
154.82;1215.0;6.0;einfamilienhaus;1;1936;1;3;180000;44177136;27211;Straße nicht freigegeben;Bassum;Osterbinde;5;2250
160.46;440.0;7.0;einfamilienhaus;2;1900;2;1;180000;21315929;37627;Straße nicht freigegeben;Heinade;Hellental;1;1000
137.5;300.0;6.0;mehrfamilienhaus;2;1900;2;1;180000;51686330;31840;Straße nicht freigegeben;HessischOldendorf;Rohden;6;1550
273.17;993.17;11.0;einfamilienhaus;2;2003;3;1;180000;45752695;38685;Straße nicht freigegeben;Langelsheim;Lautenthal;5;2350
99.0;336.0;5.0;doppelhaushälfte;2;1970;0;3;180000;23239916;49201;Straße nicht freigegeben;Dissen;;10;2750
74.44;391.0;2.0;bungalow;1;2004;0;1;182000;80365863;27449;Straße nicht freigegeben;Kutenholz;;1;2200
100.0;993.0;5.0;einfamilienhaus;1;1968;1;1;182000;42658809;26725;Straße nicht freigegeben;Emden;Widdelswehr/Jarßum;9;2150
120.0;496.0;3.0;einfamilienhaus;1;1977;0;3;185000;70929652;26919;Straße nicht freigegeben;Brake;;9;1950
124.41;728.0;7.0;einfamilienhaus;0;1951;1;3;185000;84151867;49356;Straße nicht freigegeben;Diepholz;;5;2250
